id,artist,album,title,key,time_signature,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,num_played,rate
spotify:track:3I4QOvltiKcMu3xmnQjEct,Lorde,Melodrama,Green Light,2,4,0.594,0.721,-7.812,0.0957,0.0209,8.55e-06,0.0879,0.253,128.942,234653.0,1,7.0000
spotify:track:0PXCdhnm9fRgrIgoMcteZa,Lorde,Melodrama,Sober,6,4,0.796,0.467,-10.369,0.181,0.173,0.00411,0.126,0.516,107.901,197236.0,1,5.0000
spotify:track:0zL76omZWytdTtyXKVfuDw,Lorde,Melodrama,Homemade Dynamite,10,4,0.771,0.431,-5.423,0.0577,0.287,2.75e-06,0.0934,0.268,107.047,189796.0,1,3.0000
spotify:track:4YBDSEzVNQbvCvVIWNtruF,Lorde,Melodrama,The Louvre,0,4,0.664,0.382,-9.977,0.047,0.239,0.00763,0.0943,0.126,123.214,271088.0,1,5.0000
spotify:track:5drK2kTE2mrUdV33iHWyrx,Hooverphonic,The Magnificent Tree,Mad About You,1,4,0.465,0.844,-4.352,0.0379,0.00109,0.399,0.0865,0.155,170.358,223733.0,2,9.0000
spotify:track:5YwVDOWMKH7T0KtvpPSESQ,Hooverphonic,With Orchestra Live,Mad About You - Live at Koningin Elisabethzaal 2012,11,4,0.386,0.445,-11.713,0.0377,0.606,0.000243,0.702,0.188,77.881,239267.0,2,9.0000
spotify:track:4NyKEVldCvokxpmeFBNNXI,Hooverphonic,A New Stereophonic Sound Spectacular,2 Wicky,10,4,0.546,0.613,-7.938,0.048,0.16,0.00403,0.13,0.446,68.172,284293.0,2,6.0000
spotify:track:0nncEZvYDesa2cP8jQkOHz,Hooverphonic,Summer Sun,Summer Sun,11,4,0.723,0.652,-6.55,0.0292,0.0392,0.0,0.122,0.688,110.069,165880.0,1,6.0000
spotify:track:3DxAwRSH1lhTneGRoWZyYq,Hooverphonic,Release Me,Release Me,4,4,0.495,0.451,-5.035,0.025,0.175,0.0,0.0994,0.245,133.86,185520.0,1,5.0000
spotify:track:5IpTvvTopPoAhJLbtQ798i,Hooverphonic,Blue Wonder Power Milk,Eden,4,4,0.246,0.572,-9.576,0.0335,0.0205,0.873,0.126,0.169,82.07,213000.0,2,5.0000
spotify:track:5CjTwCKG5z1xroRkWasO4l,Hooverphonic,Reflection,Amalfi,9,4,0.491,0.728,-5.503,0.0304,0.366,5.63e-05,0.0865,0.342,138.026,197453.0,1,6.0000
spotify:track:71BzOLRdrwd0MGRYtJAoWX,Hooverphonic,In Wonderland,Badaboum,0,4,0.687,0.753,-5.468,0.0276,0.015,0.001,0.264,0.423,120.024,197507.0,1,4.0000
spotify:track:6UvHVnBPpxMJrTAFnMK8s2,Hooverphonic,Looking For Stars,Romantic,8,4,0.578,0.756,-5.055,0.0304,0.00185,0.00603,0.0612,0.383,109.954,195493.0,1,6.0000
spotify:track:2a7W4YNYwFuZ3yVclj4AYO,"Hooverphonic, Alle Farben",Badaboum (Alle Farben Remix) [Radio Edit],Badaboum (Alle Farben Remix) - Radio Edit,9,4,0.623,0.54,-7.788,0.206,0.122,0.00258,0.141,0.542,122.875,204878.0,1,3.0000
spotify:track:6iTXlr0SekPbXfaJIiLJ4Y,Hooverphonic,Looking For Stars,Lethal Skies,4,4,0.514,0.685,-6.558,0.0252,0.0358,0.00101,0.193,0.346,153.991,236493.0,1,5.0000
spotify:track:4lPHdMXICqdl6RguxO2jBK,Hooverphonic,Looking For Stars,Paranoid Affair,9,4,0.606,0.73,-5.879,0.0371,0.0556,0.00341,0.092,0.366,81.994,185107.0,1,4.0000
spotify:track:3AAOFabODSWkCFTJlHhXcL,Hooverphonic,Looking For Stars,Uptight,0,4,0.726,0.802,-3.919,0.0381,0.0175,6.01e-05,0.0892,0.829,120.009,204800.0,1,4.0000
spotify:track:1hKx5OXnFUow0FqGaB9dKe,Hooverphonic,Looking For Stars,Concrete Skin,0,4,0.304,0.517,-6.008,0.0306,0.265,0.00113,0.355,0.113,60.803,209600.0,1,5.0000
spotify:track:4HmGYnwkSEwqiC9M9d2NBI,Hooverphonic,Looking For Stars,Looking For Stars,1,3,0.587,0.81,-5.096,0.0327,0.000278,4.44e-05,0.337,0.553,123.029,203600.0,1,3.0000
spotify:track:0Lb0WTPRMnMmc36OEzdyx1,Hooverphonic,Looking For Stars,Horrible Person,11,4,0.699,0.659,-4.502,0.0469,0.279,0.0,0.0939,0.568,120.125,200893.0,1,5.0000
spotify:track:4Lhxo5PekgvuIWVmlKpQRJ,Hooverphonic,Looking For Stars,On And On,0,4,0.541,0.721,-6.65,0.0356,0.101,0.00734,0.0859,0.498,153.922,190907.0,1,4.0000
